country_name,quarterly_GDP_growth,quarterly_inflation,quarterly_unemployment,quarterly_debt_GDP,household_saving_ratio,date
CN,2.93,2.7,4.1,29.2,35.487,1/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,2/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,3/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,4/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,5/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,6/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,7/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,8/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,9/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,10/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,11/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,12/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,13/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,14/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,15/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,16/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,17/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,18/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,19/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,20/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,21/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,22/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,23/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,24/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,25/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,26/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,27/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,28/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,29/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,30/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,31/1/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,1/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,2/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,3/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,4/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,5/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,6/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,7/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,8/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,9/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,10/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,11/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,12/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,13/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,14/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,15/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,16/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,17/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,18/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,19/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,20/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,21/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,22/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,23/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,24/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,25/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,26/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,27/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,28/2/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,1/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,2/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,3/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,4/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,5/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,6/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,7/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,8/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,9/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,10/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,11/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,12/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,13/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,14/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,15/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,16/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,17/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,18/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,19/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,20/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,21/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,22/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,23/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,24/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,25/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,26/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,27/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,28/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,29/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,30/3/2007 00:00:00
CN,2.93,2.7,4.1,29.2,35.487,31/3/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,1/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,2/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,3/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,4/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,5/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,6/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,7/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,8/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,9/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,10/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,11/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,12/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,13/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,14/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,15/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,16/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,17/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,18/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,19/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,20/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,21/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,22/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,23/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,24/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,25/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,26/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,27/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,28/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,29/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,30/4/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,1/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,2/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,3/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,4/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,5/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,6/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,7/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,8/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,9/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,10/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,11/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,12/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,13/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,14/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,15/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,16/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,17/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,18/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,19/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,20/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,21/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,22/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,23/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,24/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,25/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,26/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,27/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,28/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,29/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,30/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,31/5/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,1/6/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,2/6/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,3/6/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,4/6/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,5/6/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,6/6/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,7/6/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,8/6/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,9/6/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,10/6/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,11/6/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,12/6/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,13/6/2007 00:00:00
CN,3.28,3.6,4.1,29.2,35.487,14/6/2007 00:00:00
