country_name,quarterly_GDP_growth,quarterly_inflation,quarterly_unemployment,quarterly_debt_GDP,household_saving_ratio,date
CN,2.93,2.7,4.1,29.2,35.487,1/01/2007
CN,3.28,3.6,4.1,29.2,35.487,1/04/2007
CN,3.39,6.2,4,29.2,35.487,1/07/2007
CN,3.57,6.7,4,29.2,35.487,1/10/2007
CN,3.48,8.1,4,27.2,37.372,1/01/2008
CN,3.7,7.9,4,27.2,37.372,1/04/2008
CN,3.35,5.3,4,27.2,37.372,1/07/2008
CN,2.79,2.6,4.2,27.2,37.372,1/10/2008
CN,0.91,-0.6,4.3,34.6,37.656,1/01/2009
CN,1.01,-1.5,4.3,34.6,37.656,1/04/2009
CN,1.34,-1.3,4.3,34.6,37.656,1/07/2009
CN,2.03,0.5,4.3,34.6,37.656,1/10/2009
CN,2.05,2.1,4.2,33.9,38.484,1/01/2010
CN,2.26,2.7,4.2,33.9,38.484,1/04/2010
CN,2.25,3.3,4.1,33.9,38.484,1/07/2010
CN,2.47,4.6,4.1,33.9,38.484,1/10/2010
CN,2.67,5.2,4.1,33.8,38.024,1/01/2011
CN,2.91,6,4.1,33.8,38.024,1/04/2011
CN,2.9,6.4,4.1,33.8,38.024,1/07/2011
CN,2.61,4.6,4.1,33.8,38.024,1/10/2011
CN,1.6,3.7,4.1,34.4,38.191,1/01/2012
CN,1.54,2.8,4.1,34.4,38.191,1/04/2012
US,0.3,2.4,4.5,86.24,3.492,1/01/2007
US,0.61,2.7,4.5,86.24,3.492,1/04/2007
US,0.58,2.4,4.67,86.24,3.492,1/07/2007
US,0.63,4,4.8,86.24,3.492,1/10/2007
US,-0.43,4.1,5,102,4.77,1/01/2008
US,0.6,4.4,5.33,102,4.77,1/04/2008
US,-0.53,5.3,6,102,4.77,1/07/2008
US,-2.19,1.6,6.87,102,4.77,1/10/2008
US,-1.13,0,8.27,115.44,6.074,1/01/2009
US,-0.18,-1.2,9.3,115.44,6.074,1/04/2009
US,0.35,-1.6,9.63,115.44,6.074,1/07/2009
US,1.08,1.4,9.93,115.44,6.074,1/10/2009
US,0.48,2.4,9.83,125.33,6.466,1/01/2010
US,0.97,1.8,9.63,125.33,6.466,1/04/2010
US,0.77,1.2,9.47,125.33,6.466,1/07/2010
US,0.53,1.3,9.5,125.33,6.466,1/10/2010
US,-0.24,2.1,9.03,130.48,7.006,1/01/2011
US,0.68,3.4,9.07,130.48,7.006,1/04/2011
US,-0.02,3.8,9,130.48,7.006,1/07/2011
US,1.12,3.3,8.63,130.48,7.006,1/10/2011
US,0.84,2.8,8.27,132.28,8.853,1/01/2012
US,0.45,1.9,8.2,132.28,8.853,1/04/2012
AU,1.43,2.5,4.55,27.39,0.97,1/01/2007
AU,0.64,2.1,4.32,27.39,0.97,1/04/2007
AU,1.13,1.8,4.26,27.39,0.97,1/07/2007
AU,0.44,2.9,4.35,27.39,0.97,1/10/2007
AU,1.03,4.3,4.09,29.82,7.687,1/01/2008
AU,0.3,4.4,4.26,29.82,7.687,1/04/2008
AU,0.7,5,4.19,29.82,7.687,1/07/2008
AU,-0.42,3.7,4.44,29.82,7.687,1/10/2008
AU,0.97,2.4,5.31,38.47,5.645,1/01/2009
AU,0.66,1.4,5.73,38.47,5.645,1/04/2009
AU,0.34,1.2,5.68,38.47,5.645,1/07/2009
AU,0.81,2.1,5.56,38.47,5.645,1/10/2009
AU,0.46,2.9,5.33,41.52,7.363,1/01/2010
AU,0.59,3.1,5.29,41.52,7.363,1/04/2010
AU,0.7,2.9,5.13,41.52,7.363,1/07/2010
AU,0.87,2.8,5.09,41.52,7.363,1/10/2010
AU,-0.28,3.3,4.97,45.63,7.949,1/01/2011
AU,1.21,3.5,4.96,45.63,7.949,1/04/2011
AU,1.4,3.4,5.2,45.63,7.949,1/07/2011
AU,1.06,3,5.21,45.63,7.949,1/10/2011
AU,1.02,1.6,5.14,58.37,6.542,1/01/2012
AU,0.7,1.2,5.12,58.37,6.542,1/04/2012
